Number,Title,URL,Date
1,Kennesaw State's Owl Cyber Team earns top finish in national cybersecurity competition,https://www.kennesaw.edu/news/stories/2025/owlcyberteamearnstopfinishinnationalcybersecurity.php,"August 06, 2025"
2,National publication recognizes Kennesaw State with Excellence in Mental Health and Well-Being Award,https://www.kennesaw.edu/news/stories/2025/publication-recognizes-ksu-excellence-mental-health-well-being-award.php,"August 05, 2025"
3,Kennesaw State researchers examine how parents navigate children's smartphone use,https://www.kennesaw.edu/news/stories/2025/ksu-researchers-examine-parents-navigate-children-smartphone-use.php,"August 04, 2025"
4,"Kennesaw State launches Center for Interactive Media to drive innovation in VR, gaming, and digital storytelling",https://www.kennesaw.edu/news/stories/2025/center-interactive-media-drive-innovation-vr-gaming-storytelling.php,"August 01, 2025"
5,Kennesaw State alumna to compete in international Deaflympics games in Tokyo,https://www.kennesaw.edu/news/stories/2025/ksu-alum-compete-international-deaflympics-games-tokyo.php,"July 31, 2025"
6,Kennesaw State nurses excel on the front lines and at home,https://www.kennesaw.edu/news/stories/2025/nurses-excel-on-front-lines-and-at-home.php,"July 30, 2025"
7,Kennesaw State graduates earn international recognition for award-winning architectural drawing,https://www.kennesaw.edu/news/stories/2025/graduates-earn-international-recognition-award-winning-architectural-drawing.php,"July 29, 2025"
8,Student's CrossFit passion leads to breakthrough research at Kennesaw State,https://www.kennesaw.edu/news/stories/2025/crossfit-passion-leads-to-breakthrough-research-ksu.php,"July 28, 2025"
9,Kennesaw State student and faculty use supercomputing to advance Alzheimer's drug research,https://www.kennesaw.edu/news/stories/2025/student-and-faculty-use-supercomputing-advance-alzheimers-drug-research.php,"July 25, 2025"
10,KSU student working to address challenges with elder care,https://www.kennesaw.edu/news/stories/2025/ksu-student-working-address-challenges-elder-care.php,"July 24, 2025"
